network,station_code,label,active,lon,lat,elevation,type
BEOB,1AD0,Adelboden,True,7.560709,46.492044,1325,
BEOB,1GA0,Gadmen,True,8.352303,46.736670,1190,
BEOB,1GB0,Grindelwald Bort,True,8.051392,46.647284,1565,
BEOB,1GD0,Grindel,True,8.064317,46.657919,1950,
BEOB,1GH0,Grimsel Hospiz,True,8.332817,46.571476,1970,
BEOB,1GS0,Gsteig,True,7.275391,46.379328,1190,
BEOB,1GT0,Gantrisch,True,7.439944,46.717654,1510,
BEOB,1HB0,Hasliberg,True,8.220311,46.756901,1825,
BEOB,1IN0,Interlaken,False,7.870808,46.672490,580,
BEOB,1JA0,Jaunpass,True,7.339465,46.593472,1520,
BEOB,1LB0,Lauterbrunnen,True,7.911896,46.588937,800,
BEOB,1LC0,La Comballaz,True,7.083019,46.380029,1360,
BEOB,1LS0,Leysin,True,7.025107,46.351927,1300,
BEOB,1MI0,Morgins,True,6.859430,46.236250,1320,
BEOB,1MN0,Moléson,False,7.023501,46.556322,1520,
BEOB,1MR0,Mürren,True,7.890178,46.558439,1650,
BEOB,1PL0,Planachaux,True,6.842866,46.174362,1870,
BEOB,1SH0,Stockhorn,True,7.541571,46.683695,1640,
BEOB,1SM0,Saanenmöser,True,7.297512,46.518764,1390,
BEOB,1WE0,Wengen,True,7.921317,46.606439,1280,
BEOB,2AN0,Andermatt,True,8.591903,46.633200,1440,
BEOB,2EN0,Engelberg,True,8.424005,46.818883,1023,
BEOB,2GA0,Göscheneralp,True,8.518224,46.651825,1550,
BEOB,2GO0,Göschenen,True,8.581219,46.667773,1110,
BEOB,2GU0,Gurtnellen,True,8.626453,46.737475,950,
BEOB,2ME0,Meien,True,8.556831,46.724504,1320,
BEOB,2OG0,Oberiberg,True,8.778697,47.039954,1060,
BEOB,2RI0,Rigi Scheidegg,True,8.522620,47.027284,1640,
BEOB,2SO0,Sörenberg,True,8.028124,46.825522,1150,
BEOB,2ST0,Stoos,True,8.674538,46.974290,1280,
BEOB,2TR0,Trübsee,True,8.395277,46.791464,1780,
BEOB,2UR0,Isenthal,True,8.561626,46.892057,1395,
BEOB,3BR0,Braunwald,True,8.988422,46.938131,1310,
BEOB,3EL0,Elm,True,9.152017,46.927478,1690,
BEOB,3FB0,Flumserberg,True,9.294450,47.089014,1310,
BEOB,3MB0,Malbun,True,9.608663,47.103149,1610,
